IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
34;7;2021;1;6,87;01/01/2021
34;7;2021;2;9,7;01/02/2021
34;7;2021;3;14,1;01/03/2021
34;7;2021;4;17,96;01/04/2021
34;7;2021;5;20,67;01/05/2021
34;7;2021;6;21,3;01/06/2021
34;7;2021;7;19,78;01/07/2021
34;7;2021;8;16,49;01/08/2021
34;7;2021;9;12,35;01/09/2021
34;7;2021;10;8,46;01/10/2021
34;7;2021;11;5,88;01/11/2021
34;7;2021;12;5,28;01/12/2021
34;7;2022;1;6,82;01/01/2022
34;7;2022;2;10,07;01/02/2022
34;7;2022;3;14,14;01/03/2022
34;7;2022;4;17,93;01/04/2022
34;7;2022;5;20,41;01/05/2022
34;7;2022;6;20,93;01/06/2022
34;7;2022;7;19,35;01/07/2022
34;7;2022;8;16,11;01/08/2022
34;7;2022;9;12,09;01/09/2022
34;7;2022;10;8,37;01/10/2022
34;7;2022;11;5,96;01/11/2022
34;7;2022;12;5,49;01/12/2022
34;7;2023;1;7,08;01/01/2023
34;7;2023;2;10,29;01/02/2023
34;7;2023;3;14,23;01/03/2023
34;7;2023;4;17,85;01/04/2023
34;7;2023;5;20,16;01/05/2023
34;7;2023;6;20,56;01/06/2023
34;7;2023;7;18,93;01/07/2023
34;7;2023;8;15,74;01/08/2023
34;7;2023;9;11,84;01/09/2023
34;7;2023;10;8,29;01/10/2023
34;7;2023;11;6,05;01/11/2023
34;7;2023;12;5,7;01/12/2023
