IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
31;103;2021;1;7,64;01/01/2021
31;103;2021;2;10,78;01/02/2021
31;103;2021;3;15,48;01/03/2021
31;103;2021;4;20,44;01/04/2021
31;103;2021;5;24,33;01/05/2021
31;103;2021;6;26,11;01/06/2021
31;103;2021;7;25,31;01/07/2021
31;103;2021;8;22,14;01/08/2021
31;103;2021;9;17,45;01/09/2021
31;103;2021;10;12,51;01/10/2021
31;103;2021;11;8,63;01/11/2021
31;103;2021;12;6,86;01/12/2021
31;103;2022;1;7,67;01/01/2022
31;103;2022;2;10,84;01/02/2022
31;103;2022;3;15,51;01/03/2022
31;103;2022;4;20,44;01/04/2022
31;103;2022;5;24,29;01/05/2022
31;103;2022;6;26,05;01/06/2022
31;103;2022;7;25,23;01/07/2022
31;103;2022;8;22,07;01/08/2022
31;103;2022;9;17,41;01/09/2022
31;103;2022;10;12,5;01/10/2022
31;103;2022;11;8,66;01/11/2022
31;103;2022;12;6,92;01/12/2022
31;103;2023;1;7,74;01/01/2023
31;103;2023;2;10,9;01/02/2023
31;103;2023;3;15,55;01/03/2023
31;103;2023;4;20,44;01/04/2023
31;103;2023;5;24,26;01/05/2023
31;103;2023;6;25,98;01/06/2023
31;103;2023;7;25,16;01/07/2023
31;103;2023;8;22;01/08/2023
31;103;2023;9;17,37;01/09/2023
31;103;2023;10;12,49;01/10/2023
31;103;2023;11;8,69;01/11/2023
31;103;2023;12;6,98;01/12/2023
