IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
9;102;2021;1;8,71;01/01/2021
9;102;2021;2;11,66;01/02/2021
9;102;2021;3;16,3;01/03/2021
9;102;2021;4;21,39;01/04/2021
9;102;2021;5;25,56;01/05/2021
9;102;2021;6;27,69;01/06/2021
9;102;2021;7;27,22;01/07/2021
9;102;2021;8;24,26;01/08/2021
9;102;2021;9;19,63;01/09/2021
9;102;2021;10;14,57;01/10/2021
9;102;2021;11;10,43;01/11/2021
9;102;2021;12;8,33;01/12/2021
9;102;2022;1;8,83;01/01/2022
9;102;2022;2;11,79;01/02/2022
9;102;2022;3;16,41;01/03/2022
9;102;2022;4;21,45;01/04/2022
9;102;2022;5;25,55;01/05/2022
9;102;2022;6;27,62;01/06/2022
9;102;2022;7;27,1;01/07/2022
9;102;2022;8;24,13;01/08/2022
9;102;2022;9;19,52;01/09/2022
9;102;2022;10;14,51;01/10/2022
9;102;2022;11;10,44;01/11/2022
9;102;2022;12;8,4;01/12/2022
9;102;2023;1;8,95;01/01/2023
9;102;2023;2;11,92;01/02/2023
9;102;2023;3;16,52;01/03/2023
9;102;2023;4;21,51;01/04/2023
9;102;2023;5;25,55;01/05/2023
9;102;2023;6;27,55;01/06/2023
9;102;2023;7;26,98;01/07/2023
9;102;2023;8;24;01/08/2023
9;102;2023;9;19,41;01/09/2023
9;102;2023;10;14,45;01/10/2023
9;102;2023;11;10,44;01/11/2023
9;102;2023;12;8,48;01/12/2023
