IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
31;103;2021;1;7,72;01/01/2021
31;103;2021;2;10,69;01/02/2021
31;103;2021;3;15,06;01/03/2021
31;103;2021;4;19,64;01/04/2021
31;103;2021;5;23,2;01/05/2021
31;103;2021;6;24,79;01/06/2021
31;103;2021;7;23,96;01/07/2021
31;103;2021;8;20,96;01/08/2021
31;103;2021;9;16,58;01/09/2021
31;103;2021;10;12,02;01/10/2021
31;103;2021;11;8,49;01/11/2021
31;103;2021;12;6,96;01/12/2021
31;103;2022;1;7,83;01/01/2022
31;103;2022;2;10,86;01/02/2022
31;103;2022;3;15,25;01/03/2022
31;103;2022;4;19,8;01/04/2022
31;103;2022;5;23,29;01/05/2022
31;103;2022;6;24,78;01/06/2022
31;103;2022;7;23,86;01/07/2022
31;103;2022;8;20,79;01/08/2022
31;103;2022;9;16,39;01/09/2022
31;103;2022;10;11,85;01/10/2022
31;103;2022;11;8,4;01/11/2022
31;103;2022;12;6,96;01/12/2022
31;103;2023;1;7,93;01/01/2023
31;103;2023;2;11,04;01/02/2023
31;103;2023;3;15,44;01/03/2023
31;103;2023;4;19,97;01/04/2023
31;103;2023;5;23,38;01/05/2023
31;103;2023;6;24,77;01/06/2023
31;103;2023;7;23,75;01/07/2023
31;103;2023;8;20,61;01/08/2023
31;103;2023;9;16,2;01/09/2023
31;103;2023;10;11,69;01/10/2023
31;103;2023;11;8,32;01/11/2023
31;103;2023;12;6,98;01/12/2023
