IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
31;103;2021;1;5,05;01/01/2021
31;103;2021;2;6,71;01/02/2021
31;103;2021;3;10,8;01/03/2021
31;103;2021;4;14,51;01/04/2021
31;103;2021;5;18,36;01/05/2021
31;103;2021;6;20,11;01/06/2021
31;103;2021;7;20,19;01/07/2021
31;103;2021;8;17,9;01/08/2021
31;103;2021;9;14,37;01/09/2021
31;103;2021;10;10,16;01/10/2021
31;103;2021;11;6,67;01/11/2021
31;103;2021;12;4,64;01/12/2021
31;103;2022;1;4,76;01/01/2022
31;103;2022;2;6,88;01/02/2022
31;103;2022;3;10,52;01/03/2022
31;103;2022;4;14,64;01/04/2022
31;103;2022;5;18,19;01/05/2022
31;103;2022;6;20,19;01/06/2022
31;103;2022;7;20,11;01/07/2022
31;103;2022;8;17,98;01/08/2022
31;103;2022;9;14,37;01/09/2022
31;103;2022;10;10,23;01/10/2022
31;103;2022;11;6,69;01/11/2022
31;103;2022;12;4,68;01/12/2022
31;103;2023;1;4,75;01/01/2023
31;103;2023;2;6,87;01/02/2023
31;103;2023;3;10,48;01/03/2023
31;103;2023;4;14,61;01/04/2023
31;103;2023;5;18,15;01/05/2023
31;103;2023;6;20,17;01/06/2023
31;103;2023;7;20,11;01/07/2023
31;103;2023;8;18;01/08/2023
31;103;2023;9;14,4;01/09/2023
31;103;2023;10;10,28;01/10/2023
31;103;2023;11;6,73;01/11/2023
31;103;2023;12;4,71;01/12/2023
