IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
15;1;2021;1;4,34;01/01/2021
15;1;2021;2;6,82;01/02/2021
15;1;2021;3;13,4;01/03/2021
15;1;2021;4;16,89;01/04/2021
15;1;2021;5;19,27;01/05/2021
15;1;2021;6;19,46;01/06/2021
15;1;2021;7;17,44;01/07/2021
15;1;2021;8;18,5;01/08/2021
15;1;2021;9;12,74;01/09/2021
15;1;2021;10;9,59;01/10/2021
15;1;2021;11;6,82;01/11/2021
15;1;2021;12;4,24;01/12/2021
15;1;2022;1;6,76;01/01/2022
15;1;2022;2;8,16;01/02/2022
15;1;2022;3;10,68;01/03/2022
15;1;2022;4;15,47;01/04/2022
15;1;2022;5;18,45;01/05/2022
15;1;2022;6;15,81;01/06/2022
15;1;2022;7;22,13;01/07/2022
15;1;2022;8;18,15;01/08/2022
15;1;2022;9;12,73;01/09/2022
15;1;2022;10;7,7;01/10/2022
15;1;2022;11;4,95;01/11/2022
15;1;2022;12;3,52;01/12/2022
15;1;2023;1;4,57;01/01/2023
15;1;2023;2;9,8;01/02/2023
15;1;2023;3;11,16;01/03/2023
15;1;2023;4;16,68;01/04/2023
15;1;2023;5;19,82;01/05/2023
15;1;2023;6;19,49;01/06/2023
15;1;2023;7;18,62;01/07/2023
15;1;2023;8;17,14;01/08/2023
15;1;2023;9;13,92;01/09/2023
15;1;2023;10;8,02;01/10/2023
15;1;2023;11;3,97;01/11/2023
15;1;2023;12;3,77;01/12/2023
