IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
9;102;2021;1;14,08;01/01/2021
9;102;2021;2;16,37;01/02/2021
9;102;2021;3;18,97;01/03/2021
9;102;2021;4;21,42;01/04/2021
9;102;2021;5;23,07;01/05/2021
9;102;2021;6;23,48;01/06/2021
9;102;2021;7;22,55;01/07/2021
9;102;2021;8;20,53;01/08/2021
9;102;2021;9;17,96;01/09/2021
9;102;2021;10;15,5;01/10/2021
9;102;2021;11;13,81;01/11/2021
9;102;2021;12;13,33;01/12/2021
9;102;2022;1;14,17;01/01/2022
9;102;2022;2;16,12;01/02/2022
9;102;2022;3;18,66;01/03/2022
9;102;2022;4;21,12;01/04/2022
9;102;2022;5;22,86;01/05/2022
9;102;2022;6;23,42;01/06/2022
9;102;2022;7;22,65;01/07/2022
9;102;2022;8;20,77;01/08/2022
9;102;2022;9;18,27;01/09/2022
9;102;2022;10;15,8;01/10/2022
9;102;2022;11;14,02;01/11/2022
9;102;2022;12;13,39;01/12/2022
9;102;2023;1;14,08;01/01/2023
9;102;2023;2;15,89;01/02/2023
9;102;2023;3;18,36;01/03/2023
9;102;2023;4;20,83;01/04/2023
9;102;2023;5;22,65;01/05/2023
9;102;2023;6;23,35;01/06/2023
9;102;2023;7;22,74;01/07/2023
9;102;2023;8;20,99;01/08/2023
9;102;2023;9;18,57;01/09/2023
9;102;2023;10;16,1;01/10/2023
9;102;2023;11;14,24;01/11/2023
9;102;2023;12;13,47;01/12/2023
