IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
31;103;2021;1;6,89;01/01/2021
31;103;2021;2;10,47;01/02/2021
31;103;2021;3;15,51;01/03/2021
31;103;2021;4;21,02;01/04/2021
31;103;2021;5;25,43;01/05/2021
31;103;2021;6;27,56;01/06/2021
31;103;2021;7;26,83;01/07/2021
31;103;2021;8;23,44;01/08/2021
31;103;2021;9;18,31;01/09/2021
31;103;2021;10;12,82;01/10/2021
31;103;2021;11;8,44;01/11/2021
31;103;2021;12;6,35;01/12/2021
31;103;2022;1;7,11;01/01/2022
31;103;2022;2;10,52;01/02/2022
31;103;2022;3;15,65;01/03/2022
31;103;2022;4;21,13;01/04/2022
31;103;2022;5;25,48;01/05/2022
31;103;2022;6;27,53;01/06/2022
31;103;2022;7;26,73;01/07/2022
31;103;2022;8;23,31;01/08/2022
31;103;2022;9;18,17;01/09/2022
31;103;2022;10;12,71;01/10/2022
31;103;2022;11;8,39;01/11/2022
31;103;2022;12;6,37;01/12/2022
31;103;2023;1;7,2;01/01/2023
31;103;2023;2;10,65;01/02/2023
31;103;2023;3;15,79;01/03/2023
31;103;2023;4;21,24;01/04/2023
31;103;2023;5;25,52;01/05/2023
31;103;2023;6;27,5;01/06/2023
31;103;2023;7;26,64;01/07/2023
31;103;2023;8;23,17;01/08/2023
31;103;2023;9;18,03;01/09/2023
31;103;2023;10;12,6;01/10/2023
31;103;2023;11;8,34;01/11/2023
31;103;2023;12;6,4;01/12/2023
