IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
2;5;2021;1;10,45;01/01/2021
2;5;2021;2;12,79;01/02/2021
2;5;2021;3;16,53;01/03/2021
2;5;2021;4;20,67;01/04/2021
2;5;2021;5;24,1;01/05/2021
2;5;2021;6;25,9;01/06/2021
2;5;2021;7;25,58;01/07/2021
2;5;2021;8;23,24;01/08/2021
2;5;2021;9;19,5;01/09/2021
2;5;2021;10;15,37;01/10/2021
2;5;2021;11;11,94;01/11/2021
2;5;2021;12;10,15;01/12/2021
2;5;2022;1;10,47;01/01/2022
2;5;2022;2;12,82;01/02/2022
2;5;2022;3;16,56;01/03/2022
2;5;2022;4;20,69;01/04/2022
2;5;2022;5;24,11;01/05/2022
2;5;2022;6;25,89;01/06/2022
2;5;2022;7;25,56;01/07/2022
2;5;2022;8;23,21;01/08/2022
2;5;2022;9;19,47;01/09/2022
2;5;2022;10;15,34;01/10/2022
2;5;2022;11;11,93;01/11/2022
2;5;2022;12;10,16;01/12/2022
2;5;2023;1;10,5;01/01/2023
2;5;2023;2;12,85;01/02/2023
2;5;2023;3;16,59;01/03/2023
2;5;2023;4;20,72;01/04/2023
2;5;2023;5;24,12;01/05/2023
2;5;2023;6;25,89;01/06/2023
2;5;2023;7;25,54;01/07/2023
2;5;2023;8;23,18;01/08/2023
2;5;2023;9;19,44;01/09/2023
2;5;2023;10;15,31;01/10/2023
2;5;2023;11;11,92;01/11/2023
2;5;2023;12;10,16;01/12/2023
