IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
27;2;2021;1;4,51;01/01/2021
27;2;2021;2;7,06;01/02/2021
27;2;2021;3;13,53;01/03/2021
27;2;2021;4;16,06;01/04/2021
27;2;2021;5;21,29;01/05/2021
27;2;2021;6;21,07;01/06/2021
27;2;2021;7;22;01/07/2021
27;2;2021;8;20,74;01/08/2021
27;2;2021;9;13,45;01/09/2021
27;2;2021;10;9,66;01/10/2021
27;2;2021;11;5,7;01/11/2021
27;2;2021;12;3,65;01/12/2021
27;2;2022;1;6,37;01/01/2022
27;2;2022;2;8,82;01/02/2022
27;2;2022;3;10,01;01/03/2022
27;2;2022;4;16,96;01/04/2022
27;2;2022;5;20,74;01/05/2022
27;2;2022;6;19,76;01/06/2022
27;2;2022;7;23,82;01/07/2022
27;2;2022;8;20,79;01/08/2022
27;2;2022;9;14,46;01/09/2022
27;2;2022;10;8,84;01/10/2022
27;2;2022;11;5,07;01/11/2022
27;2;2022;12;3,04;01/12/2022
27;2;2023;1;4,74;01/01/2023
27;2;2023;2;10,13;01/02/2023
27;2;2023;3;12,26;01/03/2023
27;2;2023;4;18,79;01/04/2023
27;2;2023;5;21,86;01/05/2023
27;2;2023;6;21,42;01/06/2023
27;2;2023;7;23,14;01/07/2023
27;2;2023;8;21,02;01/08/2023
27;2;2023;9;14,06;01/09/2023
27;2;2023;10;8,81;01/10/2023
27;2;2023;11;4,45;01/11/2023
27;2;2023;12;3,05;01/12/2023
