IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
37;1;2021;1;10,09;01/01/2021
37;1;2021;2;13,18;01/02/2021
37;1;2021;3;16,08;01/03/2021
37;1;2021;4;19,53;01/04/2021
37;1;2021;5;19,43;01/05/2021
37;1;2021;6;19,05;01/06/2021
37;1;2021;7;20,07;01/07/2021
37;1;2021;8;19,86;01/08/2021
37;1;2021;9;16,76;01/09/2021
37;1;2021;10;14,4;01/10/2021
37;1;2021;11;11;01/11/2021
37;1;2021;12;10,09;01/12/2021
37;1;2022;1;10,58;01/01/2022
37;1;2022;2;11,56;01/02/2022
37;1;2022;3;14,39;01/03/2022
37;1;2022;4;18,32;01/04/2022
37;1;2022;5;19,08;01/05/2022
37;1;2022;6;18,08;01/06/2022
37;1;2022;7;19,15;01/07/2022
37;1;2022;8;18,8;01/08/2022
37;1;2022;9;15,13;01/09/2022
37;1;2022;10;13,17;01/10/2022
37;1;2022;11;12,37;01/11/2022
37;1;2022;12;9,63;01/12/2022
37;1;2023;1;11,42;01/01/2023
37;1;2023;2;13,51;01/02/2023
37;1;2023;3;19,1;01/03/2023
37;1;2023;4;20,98;01/04/2023
37;1;2023;5;21,98;01/05/2023
37;1;2023;6;21,35;01/06/2023
37;1;2023;7;20,82;01/07/2023
37;1;2023;8;19,75;01/08/2023
37;1;2023;9;17,83;01/09/2023
37;1;2023;10;14,93;01/10/2023
37;1;2023;11;11,52;01/11/2023
37;1;2023;12;10,55;01/12/2023
