IdProvincia;IdEstacion;Año;Mes;Radiación (MJ/m2);Fecha
31;103;2021;1;5,59;01/01/2021
31;103;2021;2;7,96;01/02/2021
31;103;2021;3;11,56;01/03/2021
31;103;2021;4;15,43;01/04/2021
31;103;2021;5;18,53;01/05/2021
31;103;2021;6;20,01;01/06/2021
31;103;2021;7;19,49;01/07/2021
31;103;2021;8;17,1;01/08/2021
31;103;2021;9;13,49;01/09/2021
31;103;2021;10;9,63;01/10/2021
31;103;2021;11;6,57;01/11/2021
31;103;2021;12;5,13;01/12/2021
31;103;2022;1;5,7;01/01/2022
31;103;2022;2;8,12;01/02/2022
31;103;2022;3;11,74;01/03/2022
31;103;2022;4;15,58;01/04/2022
31;103;2022;5;18,61;01/05/2022
31;103;2022;6;20;01/06/2022
31;103;2022;7;19,39;01/07/2022
31;103;2022;8;16,94;01/08/2022
31;103;2022;9;13,31;01/09/2022
31;103;2022;10;9,48;01/10/2022
31;103;2022;11;6,49;01/11/2022
31;103;2022;12;5,14;01/12/2022
31;103;2023;1;5,8;01/01/2023
31;103;2023;2;8,28;01/02/2023
31;103;2023;3;11,92;01/03/2023
31;103;2023;4;15,73;01/04/2023
31;103;2023;5;18,69;01/05/2023
31;103;2023;6;19,99;01/06/2023
31;103;2023;7;19,29;01/07/2023
31;103;2023;8;16,78;01/08/2023
31;103;2023;9;13,13;01/09/2023
31;103;2023;10;9,34;01/10/2023
31;103;2023;11;6,42;01/11/2023
31;103;2023;12;5,16;01/12/2023
