,Localidad,Provincia,rad_media,rad_media_scale,grupo_rad,precio_total_medio,precio_total_medio_sca,grupo_suelo,_merge,cluster,grupo_rad_code,grupo_suelo_code
0,Guadame,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
1,Puebla de Guzman,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
2,Huelva,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
3,Andújar,Jaén,154.98,0.88,"(0.79, 0.91]",127.23,0.23750344257780226,"(0.211, 0.297]",both,0,9,3
4,Carmona,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
5,Murcia,Murcia,150.17,0.79,"(0.73, 0.79]",192.88,0.4635086752960617,"(0.357, 0.515]",both,0,8,5
6,Alcolea,Almería,158.07,0.94,"(0.91, 1.0]",196.68,0.4765904709446434,"(0.357, 0.515]",both,0,10,5
7,San Juan del Puerto,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
8,Almodovar del Río,Córdoba,156.12,0.9,"(0.79, 0.91]",159.12,0.3472872486918204,"(0.297, 0.357]",both,0,9,4
9,Sevilla,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
10,Cartaya,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
11,Salteras,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
12,Punta Umbría,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
13,La Rábida,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
14,Santiponce,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
15,Valdezorras,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
16,Villanueva del Rey,Córdoba,156.12,0.9,"(0.79, 0.91]",159.12,0.3472872486918204,"(0.297, 0.357]",both,0,9,4
17,Olivares,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
18,Palos,Murcia,150.17,0.79,"(0.73, 0.79]",192.88,0.4635086752960617,"(0.357, 0.515]",both,0,8,5
19,Alcala de Guadaira,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
20,Aljarafe,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
21,Pilas,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
22,Entrenúcleos,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
23,Dos Hermanas,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
24,Almonte,Huelva,158.56,0.95,"(0.91, 1.0]",149.18,0.3130680253373726,"(0.297, 0.357]",both,0,10,4
25,Cabra,Córdoba,156.12,0.9,"(0.79, 0.91]",159.12,0.3472872486918204,"(0.297, 0.357]",both,0,9,4
26,Don Rodrigo,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
27,Archidona,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
28,Baza,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
29,La Roda de Andalucía,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
30,Caparacena,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
31,Lebrija,Sevilla,157.92,0.94,"(0.91, 1.0]",162.3,0.358234646103002,"(0.357, 0.515]",both,0,10,5
32,Pto. de Sta. Maria,Badajoz,149.5,0.78,"(0.73, 0.79]",103.73,0.15660286422473146,"(0.054, 0.161]",both,1,8,1
33,Arcos de la Frontera,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
34,Illora,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
35,El Fargue,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
36,Atarfe,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
37,Hueneja,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
38,Antequera,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
39,Cartuja,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
40,Las Gabias,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
41,Jordana,Almería,158.07,0.94,"(0.91, 1.0]",196.68,0.4765904709446434,"(0.357, 0.515]",both,0,10,5
42,Cártama,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
43,Marbella,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
44,Tabernas,Almería,158.07,0.94,"(0.91, 1.0]",196.68,0.4765904709446434,"(0.357, 0.515]",both,0,10,5
45,Puerto Real,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
46,Alcalá de los Gazules,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
47,Benahavis,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
48,Orgiva,Granada,156.73,0.91,"(0.79, 0.91]",137.85,0.2740636188377857,"(0.211, 0.297]",both,0,9,3
49,Linares,Jaén,154.98,0.88,"(0.79, 0.91]",127.23,0.23750344257780226,"(0.211, 0.297]",both,0,9,3
50,Castellar de la Frontera,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
51,Álhaurin,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
52,Berja,Almería,158.07,0.94,"(0.91, 1.0]",196.68,0.4765904709446434,"(0.357, 0.515]",both,0,10,5
53,Málaga,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
54,Benahadux,Almería,158.07,0.94,"(0.91, 1.0]",196.68,0.4765904709446434,"(0.357, 0.515]",both,0,10,5
55,Chiclana de la frontera,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
56,Lérida,Lérida,144.98,0.7,"(0.66, 0.71]",134.22,0.261567061415588,"(0.211, 0.297]",both,1,6,3
57,Casares,Málaga,155.36,0.89,"(0.79, 0.91]",244.56,0.6414210961167723,"(0.515, 1.0]",both,0,9,6
58,Cádiz,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
59,Facinas,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
60,Barbate,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
61,Algeciras,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
62,Tarifa,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
63,Los Barrios,Cádiz,161.37,1.0,"(0.91, 1.0]",196.7,0.4766593225006885,"(0.357, 0.515]",both,0,10,5
64,Jundiz,Álava,119.64,0.22,"(0.08, 0.27]",247.1,0.6501652437345085,"(0.515, 1.0]",both,2,1,6
65,Álava,Álava,119.64,0.22,"(0.08, 0.27]",247.1,0.6501652437345085,"(0.515, 1.0]",both,2,1,6
66,Orcoyen,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
67,Zangoza,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
68,Muruarte,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
69,Mélida,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
70,Miranda de Ebro,Burgos,130.73,0.43,"(0.27, 0.6]",82.94,0.08503167171578074,"(0.054, 0.161]",both,1,2,1
71,Haro,La Rioja,131.65,0.45,"(0.27, 0.6]",147.28,0.3065271275130818,"(0.297, 0.357]",both,1,2,4
72,Agoncillo,La Rioja,131.65,0.45,"(0.27, 0.6]",147.28,0.3065271275130818,"(0.297, 0.357]",both,1,2,4
73,Jaca,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
74,Tafalla,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
75,Logroño,La Rioja,131.65,0.45,"(0.27, 0.6]",147.28,0.3065271275130818,"(0.297, 0.357]",both,1,2,4
76,Sangúesa,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
77,Arrúbal,La Rioja,131.65,0.45,"(0.27, 0.6]",147.28,0.3065271275130818,"(0.297, 0.357]",both,1,2,4
78,Olite,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
79,Sabiñanigo,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
80,Biescas,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
81,Quel,La Rioja,131.65,0.45,"(0.27, 0.6]",147.28,0.3065271275130818,"(0.297, 0.357]",both,1,2,4
82,Calahorra,La Rioja,131.65,0.45,"(0.27, 0.6]",147.28,0.3065271275130818,"(0.297, 0.357]",both,1,2,4
83,Castejón,Cuenca,145.13,0.7,"(0.66, 0.71]",74.6,0.05632057284494629,"(0.054, 0.161]",both,1,6,1
84,Esquedas,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
85,Fiscal,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
86,Magaña,Soria,131.78,0.45,"(0.27, 0.6]",70.82,0.04330762875240976,"(-0.001, 0.054]",both,1,2,0
87,Tudela,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
88,Arguedas,Navarra,133.21,0.48,"(0.27, 0.6]",150.13,0.31633847424951805,"(0.297, 0.357]",both,1,2,4
89,Alcalá de Gurrea,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
90,Lanzas Agudas,Vizcaya,108.04,0.01,"(-0.001, 0.08]",267.98,0.7220462682456623,"(0.515, 1.0]",both,2,0,6
91,Gurrea de gallego,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
92,Cofita,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
93,Oncala,Soria,131.78,0.45,"(0.27, 0.6]",70.82,0.04330762875240976,"(-0.001, 0.054]",both,1,2,0
94,Almudévar,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
95,Trevago,Soria,131.78,0.45,"(0.27, 0.6]",70.82,0.04330762875240976,"(-0.001, 0.054]",both,1,2,0
96,Magallón,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
97,Tardienta,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
98,Castro Urdiales,Cantabria,111.76,0.08,"(-0.001, 0.08]",119.77,0.2118218121729551,"(0.211, 0.297]",both,2,0,3
99,Moncayo,Soria,131.78,0.45,"(0.27, 0.6]",70.82,0.04330762875240976,"(-0.001, 0.054]",both,1,2,0
100,Monzón,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
101,Zuera,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
102,Villanueva de Gallego,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
103,Peñaflor de Gallego,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
104,Rueda de Jalón,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
105,Córdoba,Córdoba,156.12,0.9,"(0.79, 0.91]",159.12,0.3472872486918204,"(0.297, 0.357]",both,0,9,4
106,Binéfar,Huesca,145.05,0.7,"(0.66, 0.71]",112.42,0.18651886532635636,"(0.161, 0.211]",both,1,6,2
107,Almazan,Soria,131.78,0.45,"(0.27, 0.6]",70.82,0.04330762875240976,"(-0.001, 0.054]",both,1,2,0
108,Utebo,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
109,Zaragoza,Zaragoza,143.32,0.66,"(0.64, 0.66]",159.18,0.347493803359956,"(0.297, 0.357]",both,1,5,4
