,Localidad,Latitud,Longitud,Provincia,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,rad-media
0,Guadame,36.7061191,-4.4390463,Málaga,76.72,77.23,122.26,171.33,223.91,229.21,235.81,212.04,165.4,129.1,81.76,66.56,75.87,109.82,130.7,159.09,194.59,217.98,238.21,211.12,170.1,131.79,84.62,85.84,93.82,119.92,158.05,173.41,222.31,232.95,243.26,210.67,155.79,116.65,70.22,78.73,89.11,105.09,114.6,175.54,203.46,231.31,243.38,217.59,163.94,132.2,97.09,81.79,83.02,93.0,154.9,186.77,226.66,224.85,243.73,222.22,155.84,132.55,81.51,76.03,92.58,101.24,144.74,164.57,221.85,228.01,239.89,201.12,164.19,111.17,100.14,78.09,88.61,99.0,159.97,176.36,196.83,238.22,231.15,204.06,176.4,112.66,83.44,72.93,93.32,92.97,151.35,182.87,225.67,234.24,231.77,203.49,172.86,132.93,94.77,78.43,87.94,102.23,131.44,176.18,224.38,240.59,252.76,219.82,153.88,116.41,83.28,87.0,92.48,114.64,161.89,174.05,243.38,244.32,237.52,217.0,160.99,139.08,82.32,78.07,82.83,114.41,133.57,149.42,225.29,241.63,241.96,220.73,160.12,131.42,84.71,78.46,83.53,93.8,149.06,143.92,212.18,220.67,232.84,202.53,161.42,134.51,96.25,74.49,82.24,95.51,111.94,174.0,234.05,242.17,239.22,208.48,162.83,110.83,92.25,68.2,94.81,103.13,171.96,205.0,201.59,214.67,235.77,215.11,164.25,121.93,104.42,82.75,154.90130952380946
1,Puebla de Guzman,37.6128869,-7.2488901,Huelva,70.01,83.17,132.8,185.78,234.91,226.77,252.72,216.32,173.16,131.68,80.93,63.93,76.27,104.14,142.04,170.98,214.85,248.15,250.7,208.26,172.69,141.99,86.27,83.94,96.72,127.16,157.58,178.85,226.88,239.48,255.96,228.09,163.8,122.53,76.02,75.31,81.0,105.31,124.73,192.34,216.76,234.67,245.97,219.45,165.95,125.99,91.8,80.0,79.27,88.03,153.41,182.29,238.52,236.47,244.79,229.62,164.57,131.01,81.82,76.29,91.66,103.17,152.22,176.68,239.44,232.48,250.84,207.11,171.77,113.44,98.55,75.35,78.97,95.54,170.01,177.91,208.52,245.84,245.68,224.84,180.12,116.84,89.31,78.7,93.57,86.18,147.11,191.82,222.54,242.61,251.87,223.94,182.0,136.15,96.47,81.15,85.3,106.81,132.9,171.84,218.59,221.97,252.55,224.36,173.3,120.55,81.39,82.58,89.79,116.75,168.23,182.79,244.16,248.03,247.23,227.27,170.34,129.14,82.53,71.49,79.69,116.81,143.36,159.15,226.97,242.82,250.9,229.12,168.14,134.65,81.27,73.05,71.39,81.2,153.54,158.17,232.67,221.08,249.38,219.93,162.25,133.13,90.33,68.2,93.69,98.86,106.52,170.83,220.79,219.58,239.39,212.52,161.75,108.76,80.42,64.93,92.23,106.71,158.88,212.75,219.5,220.5,252.31,227.85,151.33,110.74,88.83,72.76,158.10011904761916
2,Huelva,37.2575874,-6.9484945,Huelva,70.01,83.17,132.8,185.78,234.91,226.77,252.72,216.32,173.16,131.68,80.93,63.93,76.27,104.14,142.04,170.98,214.85,248.15,250.7,208.26,172.69,141.99,86.27,83.94,96.72,127.16,157.58,178.85,226.88,239.48,255.96,228.09,163.8,122.53,76.02,75.31,81.0,105.31,124.73,192.34,216.76,234.67,245.97,219.45,165.95,125.99,91.8,80.0,79.27,88.03,153.41,182.29,238.52,236.47,244.79,229.62,164.57,131.01,81.82,76.29,91.66,103.17,152.22,176.68,239.44,232.48,250.84,207.11,171.77,113.44,98.55,75.35,78.97,95.54,170.01,177.91,208.52,245.84,245.68,224.84,180.12,116.84,89.31,78.7,93.57,86.18,147.11,191.82,222.54,242.61,251.87,223.94,182.0,136.15,96.47,81.15,85.3,106.81,132.9,171.84,218.59,221.97,252.55,224.36,173.3,120.55,81.39,82.58,89.79,116.75,168.23,182.79,244.16,248.03,247.23,227.27,170.34,129.14,82.53,71.49,79.69,116.81,143.36,159.15,226.97,242.82,250.9,229.12,168.14,134.65,81.27,73.05,71.39,81.2,153.54,158.17,232.67,221.08,249.38,219.93,162.25,133.13,90.33,68.2,93.69,98.86,106.52,170.83,220.79,219.58,239.39,212.52,161.75,108.76,80.42,64.93,92.23,106.71,158.88,212.75,219.5,220.5,252.31,227.85,151.33,110.74,88.83,72.76,158.10011904761916
3,Andújar,38.0392362,-4.0505603,Jaén,64.11,68.83,127.59,164.5,210.55,216.39,246.28,217.28,167.82,121.85,72.96,64.36,72.97,98.12,135.37,165.33,187.72,233.9,246.5,220.9,172.6,132.64,79.91,80.31,89.66,117.79,158.51,153.66,220.09,236.81,253.73,217.49,159.05,117.76,68.39,73.07,74.44,94.35,102.32,169.06,209.5,230.34,245.26,217.55,162.66,128.63,93.33,77.33,67.47,78.7,144.33,174.29,232.35,230.82,246.82,227.78,158.13,130.71,74.84,72.61,86.69,88.18,144.08,172.73,227.41,231.14,242.87,202.95,163.76,107.06,97.57,80.67,76.12,83.43,142.06,157.55,193.32,240.77,236.41,221.5,176.22,113.74,80.85,77.56,88.04,86.44,150.47,187.89,217.22,231.57,241.25,210.08,180.01,134.8,95.63,73.95,79.73,98.27,117.22,162.54,199.94,223.63,257.73,222.28,163.07,120.82,78.82,82.51,84.17,115.92,162.84,160.34,241.99,248.74,244.95,223.1,155.75,134.9,70.59,73.36,84.11,116.5,142.89,158.52,217.78,243.02,245.5,223.84,163.24,132.22,87.43,69.81,74.66,93.57,150.95,156.42,220.7,226.67,246.88,219.58,167.33,144.58,95.75,75.86,101.61,111.3,100.32,166.83,224.49,232.67,255.06,228.02,183.25,125.21,83.17,65.7,82.93,101.97,159.31,197.67,197.54,207.33,253.25,234.22,150.33,123.83,91.42,72.42,153.87666666666675
4,Carmona,37.4717882,-5.641291,Sevilla,73.31,78.1,133.74,177.53,230.64,224.26,249.54,220.27,172.35,130.84,78.86,63.33,79.63,104.91,135.87,161.78,212.54,240.04,249.41,215.39,169.77,139.94,85.83,83.43,95.29,124.67,155.52,171.67,223.01,239.44,255.72,227.45,162.29,120.77,74.82,74.81,82.29,100.47,110.65,182.51,216.58,233.15,246.99,222.22,165.15,124.47,97.24,80.95,77.28,84.92,152.73,179.0,236.27,236.01,243.45,229.35,161.99,132.18,85.42,78.45,92.94,100.52,149.29,175.25,235.09,228.98,255.0,204.49,169.07,107.57,98.63,79.16,79.03,94.63,161.37,165.35,207.35,241.48,244.45,223.92,178.21,115.74,87.24,79.98,95.73,88.38,145.6,191.1,218.73,243.09,246.78,218.51,179.32,140.74,96.4,81.7,84.67,107.28,128.89,174.87,208.74,220.2,247.88,219.03,173.31,121.1,80.97,84.38,91.28,118.47,166.0,178.93,237.88,248.57,238.51,225.09,168.01,134.93,77.93,75.57,80.02,117.14,145.95,160.52,222.63,242.74,249.63,228.73,167.44,133.73,84.39,71.32,64.93,74.82,145.36,152.83,224.15,226.92,246.45,214.5,157.75,133.64,83.58,68.72,83.18,105.16,98.08,170.25,231.21,235.33,243.69,215.62,166.25,106.52,80.25,58.13,78.71,99.4,155.43,204.83,210.03,230.08,258.68,234.22,169.08,119.01,81.83,63.29,156.70208333333343
5,Murcia,37.9923795,-1.1305431,Murcia,73.88,79.16,125.8,159.36,218.41,217.38,234.35,198.16,156.78,122.46,81.75,69.72,79.36,104.22,121.61,167.46,193.09,213.38,223.81,216.58,162.42,124.05,73.55,79.08,89.66,111.58,164.01,175.16,226.64,235.89,234.45,214.76,152.65,122.48,67.51,76.39,87.95,104.26,128.82,169.43,204.68,228.27,244.09,202.16,154.76,126.5,91.47,71.48,83.15,97.37,154.85,193.01,212.82,219.3,239.5,210.66,152.13,129.0,79.67,76.67,93.45,95.57,136.56,168.92,221.13,237.43,239.23,194.13,149.47,113.0,90.78,77.73,78.69,97.35,146.18,170.23,211.39,228.19,224.68,206.91,161.9,106.72,85.25,61.71,82.43,95.36,153.59,171.94,224.7,237.21,233.61,187.56,159.06,127.84,89.96,76.94,87.98,98.4,143.65,180.39,222.16,228.53,247.21,201.38,144.34,115.17,80.46,82.14,89.88,109.49,148.22,165.09,223.2,240.76,231.3,206.59,145.42,124.79,89.84,69.82,83.17,111.39,121.98,150.91,218.52,229.31,237.82,212.65,160.11,129.92,89.51,81.17,83.79,89.76,139.93,144.42,221.31,220.33,235.0,193.41,155.67,117.97,86.33,67.86,80.08,97.22,83.87,161.08,232.59,243.42,240.94,209.08,156.25,116.08,87.92,66.39,93.0,84.39,169.73,206.83,200.81,220.33,223.8,218.64,149.17,127.44,99.5,78.88,151.02196428571426
6,Alcolea,36.974836,-2.9613342,Almería,82.01,82.87,133.36,179.06,240.51,237.05,238.35,218.32,168.79,132.28,83.71,80.06,80.19,111.2,144.85,177.51,204.12,236.28,236.35,223.17,172.37,130.34,87.93,82.99,92.91,119.12,165.11,196.82,227.72,236.59,246.09,216.36,157.98,122.09,77.98,80.01,89.34,109.16,138.07,179.46,221.25,244.77,245.76,217.43,167.91,135.46,89.12,82.23,87.63,99.62,162.4,196.23,227.68,234.28,245.4,224.08,163.08,133.71,85.86,82.95,96.23,100.73,144.07,172.23,219.61,237.05,245.92,209.82,169.58,121.26,98.59,87.49,83.45,99.12,162.99,179.7,223.33,232.03,234.26,221.31,171.17,118.14,89.83,76.08,82.3,101.53,155.8,185.94,232.14,237.29,242.34,200.83,176.62,139.3,93.23,83.73,88.72,107.91,144.85,179.41,225.69,233.65,238.27,215.97,155.62,118.07,85.81,83.36,93.86,117.89,155.4,178.07,227.3,237.03,229.28,211.44,157.69,132.36,86.79,74.96,86.5,115.19,134.65,165.54,223.82,236.57,234.76,209.95,159.6,133.65,88.07,84.74,85.42,107.88,143.63,164.08,209.85,217.83,229.57,193.58,165.83,137.78,102.25,78.28,91.71,106.09,106.26,169.42,236.2,241.08,245.42,218.98,156.33,125.98,90.0,69.66,97.05,94.27,158.62,197.33,192.2,221.33,229.4,221.31,159.83,132.44,100.08,76.81,157.83684523809526
7,San Juan del Puerto,37.3142155,-6.8407764,Huelva,70.01,83.17,132.8,185.78,234.91,226.77,252.72,216.32,173.16,131.68,80.93,63.93,76.27,104.14,142.04,170.98,214.85,248.15,250.7,208.26,172.69,141.99,86.27,83.94,96.72,127.16,157.58,178.85,226.88,239.48,255.96,228.09,163.8,122.53,76.02,75.31,81.0,105.31,124.73,192.34,216.76,234.67,245.97,219.45,165.95,125.99,91.8,80.0,79.27,88.03,153.41,182.29,238.52,236.47,244.79,229.62,164.57,131.01,81.82,76.29,91.66,103.17,152.22,176.68,239.44,232.48,250.84,207.11,171.77,113.44,98.55,75.35,78.97,95.54,170.01,177.91,208.52,245.84,245.68,224.84,180.12,116.84,89.31,78.7,93.57,86.18,147.11,191.82,222.54,242.61,251.87,223.94,182.0,136.15,96.47,81.15,85.3,106.81,132.9,171.84,218.59,221.97,252.55,224.36,173.3,120.55,81.39,82.58,89.79,116.75,168.23,182.79,244.16,248.03,247.23,227.27,170.34,129.14,82.53,71.49,79.69,116.81,143.36,159.15,226.97,242.82,250.9,229.12,168.14,134.65,81.27,73.05,71.39,81.2,153.54,158.17,232.67,221.08,249.38,219.93,162.25,133.13,90.33,68.2,93.69,98.86,106.52,170.83,220.79,219.58,239.39,212.52,161.75,108.76,80.42,64.93,92.23,106.71,158.88,212.75,219.5,220.5,252.31,227.85,151.33,110.74,88.83,72.76,158.10011904761916
8,Almodovar del Río,37.8112483,-5.0194742,Córdoba,69.99,78.42,135.62,177.26,229.42,220.25,253.76,222.31,173.07,125.48,76.21,63.25,75.45,101.48,137.09,168.88,211.33,248.61,253.36,224.99,172.67,138.8,82.86,80.65,92.44,124.5,162.95,170.65,221.95,244.51,258.34,227.89,162.58,123.65,75.49,72.48,77.31,99.5,111.47,179.28,215.0,229.87,253.38,224.23,169.12,128.75,95.26,77.72,73.26,81.21,150.82,177.25,238.3,236.23,252.49,230.77,162.73,132.08,79.96,76.58,92.5,100.73,154.65,172.93,238.71,242.32,258.69,210.47,169.72,114.19,99.2,80.38,74.92,89.32,153.75,166.81,196.15,246.88,245.23,229.78,180.33,117.38,84.42,80.5,94.34,86.5,146.93,187.05,226.3,246.58,249.05,218.29,182.13,139.7,96.17,77.37,80.77,104.58,121.39,173.57,209.79,216.71,251.55,225.5,169.18,119.47,76.61,84.32,88.56,116.76,167.49,174.93,236.97,242.45,243.75,223.25,162.1,133.47,73.27,72.38,80.71,115.37,146.75,157.78,222.44,242.62,248.55,221.63,164.55,129.83,82.69,70.14,66.99,87.19,151.81,155.83,220.53,234.08,245.16,210.46,153.67,125.98,85.83,65.7,86.28,103.29,104.54,169.42,231.55,235.08,247.14,217.78,172.17,115.56,74.67,60.62,81.46,101.58,154.05,202.83,208.99,218.92,250.24,220.44,155.58,112.38,85.5,68.2,156.51761904761904
9,Sevilla,37.3886303,-5.9953403,Sevilla,73.31,78.1,133.74,177.53,230.64,224.26,249.54,220.27,172.35,130.84,78.86,63.33,79.63,104.91,135.87,161.78,212.54,240.04,249.41,215.39,169.77,139.94,85.83,83.43,95.29,124.67,155.52,171.67,223.01,239.44,255.72,227.45,162.29,120.77,74.82,74.81,82.29,100.47,110.65,182.51,216.58,233.15,246.99,222.22,165.15,124.47,97.24,80.95,77.28,84.92,152.73,179.0,236.27,236.01,243.45,229.35,161.99,132.18,85.42,78.45,92.94,100.52,149.29,175.25,235.09,228.98,255.0,204.49,169.07,107.57,98.63,79.16,79.03,94.63,161.37,165.35,207.35,241.48,244.45,223.92,178.21,115.74,87.24,79.98,95.73,88.38,145.6,191.1,218.73,243.09,246.78,218.51,179.32,140.74,96.4,81.7,84.67,107.28,128.89,174.87,208.74,220.2,247.88,219.03,173.31,121.1,80.97,84.38,91.28,118.47,166.0,178.93,237.88,248.57,238.51,225.09,168.01,134.93,77.93,75.57,80.02,117.14,145.95,160.52,222.63,242.74,249.63,228.73,167.44,133.73,84.39,71.32,64.93,74.82,145.36,152.83,224.15,226.92,246.45,214.5,157.75,133.64,83.58,68.72,83.18,105.16,98.08,170.25,231.21,235.33,243.69,215.62,166.25,106.52,80.25,58.13,78.71,99.4,155.43,204.83,210.03,230.08,258.68,234.22,169.08,119.01,81.83,63.29,156.70208333333343
